country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-06 10:00:00,28.636429,77.201067,NO2,0.0,20.0,6.0,10,Monday,20.0,Good/Satisfactory
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-06 10:00:00,28.636429,77.201067,NH3,8.0,9.0,8.0,10,Monday,1.0,Good/Satisfactory
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-07-06 10:00:00,21.185571,81.343175,NO2,15.0,16.0,16.0,10,Monday,1.0,Good/Satisfactory
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-07-06 10:00:00,21.185571,81.343175,SO2,9.0,12.0,10.0,10,Monday,3.0,Good/Satisfactory
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-07-06 10:00:00,21.224231,81.40835,SO2,7.0,9.0,8.0,10,Monday,2.0,Good/Satisfactory
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-07-06 10:00:00,21.224231,81.40835,OZONE,8.0,10.0,9.0,10,Monday,2.0,Good/Satisfactory
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2026-07-06 10:00:00,21.194815,81.31477,SO2,7.0,13.0,10.0,10,Monday,6.0,Good/Satisfactory
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-07-06 10:00:00,22.118125,83.140608,SO2,8.0,10.0,9.0,10,Monday,2.0,Good/Satisfactory
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-07-06 10:00:00,22.368195,82.746431,NH3,1.0,1.0,1.0,10,Monday,0.0,Good/Satisfactory
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2026-07-06 10:00:00,22.12665,83.483212,PM2.5,1.0,6.0,2.0,10,Monday,5.0,Good/Satisfactory
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2026-07-06 10:00:00,22.1910172,83.5197009,PM10,3.0,21.0,9.5,10,Monday,18.0,Good/Satisfactory
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2026-07-06 10:00:00,21.237755,81.705301,OZONE,1.0,2.0,2.0,10,Monday,1.0,Good/Satisfactory
